date,winter,summer
2024-01-01,40.0,35.52
2024-01-02,39.07,35.01
2024-01-03,39.36,35.79
2024-01-04,43.16,36.65
2024-01-05,40.89,35.13
2024-01-06,40.31,35.2
2024-01-07,42.31,36.9
2024-01-08,40.38,36.24
2024-01-09,42.54,35.19
2024-01-10,41.43,36.17
2024-01-11,40.57,35.34
2024-01-12,41.18,35.4
2024-01-13,41.66,36.11
2024-01-14,39.54,34.23
2024-01-15,38.86,34.47
2024-01-16,41.1,35.58
2024-01-17,42.02,35.24
2024-01-18,42.79,36.5
2024-01-19,41.97,35.47
2024-01-20,39.67,35.08
2024-01-21,41.89,37.73
2024-01-22,41.2,36.28
2024-01-23,41.68,36.6
2024-01-24,41.32,35.32
2024-01-25,39.66,36.18
2024-01-26,43.2,36.83
2024-01-27,40.59,35.76
2024-01-28,41.78,37.19
2024-01-29,40.42,36.37
2024-01-30,40.17,36.71
2024-01-31,42.16,36.49
2024-02-01,43.74,38.76
2024-02-02,40.88,37.14
2024-02-03,39.98,36.26
2024-02-04,42.58,38.01
2024-02-05,42.59,36.22
2024-02-06,42.18,37.57
2024-02-07,39.15,35.67
2024-02-08,40.89,36.29
2024-02-09,42.28,37.72
2024-02-10,40.62,38.26
2024-02-11,42.52,37.8
2024-02-12,42.14,37.59
2024-02-13,42.84,37.48
2024-02-14,42.85,36.47
2024-02-15,42.92,37.2
2024-02-16,41.93,37.48
2024-02-17,42.57,38.89
2024-02-18,45.27,38.3
2024-02-19,41.14,36.45
2024-02-20,43.0,38.37
2024-02-21,42.35,37.77
2024-02-22,42.32,37.55
2024-02-23,43.19,38.76
2024-02-24,43.2,39.17
2024-02-25,43.16,39.12
2024-02-26,42.05,37.57
2024-02-27,42.09,38.08
2024-02-28,42.53,38.7
2024-02-29,43.86,39.31
2024-03-01,42.24,38.04
2024-03-02,44.1,38.34
2024-03-03,39.55,37.54
2024-03-04,42.85,37.49
2024-03-05,44.81,39.33
2024-03-06,42.32,39.85
2024-03-07,42.6,38.59
2024-03-08,43.55,39.59
2024-03-09,42.05,39.04
2024-03-10,41.71,38.15
2024-03-11,42.32,39.08
2024-03-12,45.96,40.17
2024-03-13,43.81,38.77
2024-03-14,45.55,40.23
2024-03-15,41.29,36.49
2024-03-16,42.72,39.6
2024-03-17,42.6,38.96
2024-03-18,43.16,38.63
2024-03-19,41.97,38.99
2024-03-20,41.83,37.14
2024-03-21,42.55,38.74
2024-03-22,42.94,39.27
2024-03-23,44.92,40.29
2024-03-24,42.87,38.5
2024-03-25,41.87,38.25
2024-03-26,43.5,38.53
2024-03-27,42.75,39.81
2024-03-28,43.73,39.29
2024-03-29,42.92,38.52
2024-03-30,43.03,39.46
2024-03-31,43.21,39.09
2024-04-01,42.55,39.87
2024-04-02,42.98,38.37
2024-04-03,42.3,38.7
2024-04-04,41.91,38.64
2024-04-05,42.34,37.67
2024-04-06,42.32,39.25
2024-04-07,41.62,39.21
2024-04-08,41.23,38.97
2024-04-09,42.93,38.74
2024-04-10,40.14,37.67
2024-04-11,43.74,38.55
2024-04-12,40.32,38.61
2024-04-13,43.27,38.18
2024-04-14,42.48,38.74
2024-04-15,42.68,39.24
2024-04-16,43.57,40.55
2024-04-17,42.84,38.99
2024-04-18,42.48,39.05
2024-04-19,43.17,38.73
2024-04-20,40.58,37.04
2024-04-21,42.28,38.72
2024-04-22,41.85,38.78
2024-04-23,44.24,40.91
2024-04-24,42.14,38.5
2024-04-25,40.72,38.91
2024-04-26,40.7,38.58
2024-04-27,41.51,37.53
2024-04-28,43.03,39.58
2024-04-29,42.31,39.2
2024-04-30,42.48,39.2
2024-05-01,41.19,37.63
2024-05-02,42.42,39.68
2024-05-03,39.63,37.12
2024-05-04,42.25,38.87
2024-05-05,42.58,40.28
2024-05-06,40.91,37.37
2024-05-07,39.34,37.72
2024-05-08,42.34,38.27
2024-05-09,41.24,37.69
2024-05-10,40.04,36.7
2024-05-11,42.1,38.12
2024-05-12,41.64,37.05
2024-05-13,42.37,38.39
2024-05-14,38.49,37.09
2024-05-15,41.16,39.27
2024-05-16,39.59,37.12
2024-05-17,40.53,37.48
2024-05-18,41.93,38.46
2024-05-19,38.91,36.56
2024-05-20,40.98,37.83
2024-05-21,41.04,38.74
2024-05-22,38.48,36.07
2024-05-23,39.32,37.63
2024-05-24,39.75,37.64
2024-05-25,39.77,38.05
2024-05-26,38.23,36.18
2024-05-27,39.91,36.05
2024-05-28,39.7,37.65
2024-05-29,42.66,37.39
2024-05-30,40.62,37.29
2024-05-31,40.37,37.32
2024-06-01,38.44,36.33
2024-06-02,40.59,37.09
2024-06-03,39.43,37.09
2024-06-04,39.08,36.12
2024-06-05,43.53,38.38
2024-06-06,39.82,37.06
2024-06-07,39.38,35.5
2024-06-08,39.3,37.1
2024-06-09,38.37,35.57
2024-06-10,41.51,37.09
2024-06-11,39.62,37.36
2024-06-12,39.96,35.51
2024-06-13,40.5,37.05
2024-06-14,38.8,36.49
2024-06-15,40.17,36.79
2024-06-16,41.38,37.7
2024-06-17,39.06,35.7
2024-06-18,36.57,35.18
2024-06-19,37.13,34.99
2024-06-20,37.56,34.98
2024-06-21,38.31,35.58
2024-06-22,39.25,35.89
2024-06-23,38.72,35.76
2024-06-24,37.79,36.19
2024-06-25,38.53,35.39
2024-06-26,39.97,36.62
2024-06-27,38.31,35.0
2024-06-28,41.4,37.62
2024-06-29,39.23,35.67
2024-06-30,37.49,34.26
2024-07-01,36.75,34.0
2024-07-02,36.65,35.33
2024-07-03,37.84,34.63
2024-07-04,38.42,35.4
2024-07-05,38.19,35.12
2024-07-06,36.24,34.56
2024-07-07,35.66,33.79
2024-07-08,36.92,33.12
2024-07-09,36.83,34.01
2024-07-10,38.59,35.12
2024-07-11,37.36,34.47
2024-07-12,35.99,33.09
2024-07-13,38.03,34.3
2024-07-14,36.85,34.43
2024-07-15,36.2,33.22
2024-07-16,36.57,34.08
2024-07-17,36.45,33.93
2024-07-18,35.43,32.78
2024-07-19,37.2,34.07
2024-07-20,36.7,34.19
2024-07-21,38.67,34.59
2024-07-22,36.66,34.5
2024-07-23,35.05,32.25
2024-07-24,35.17,32.58
2024-07-25,38.12,33.83
2024-07-26,36.94,33.76
2024-07-27,37.64,33.7
2024-07-28,38.33,36.64
2024-07-29,36.91,33.63
2024-07-30,37.93,34.08
2024-07-31,36.99,33.85
2024-08-01,37.56,33.52
2024-08-02,35.22,32.59
2024-08-03,37.87,33.5
2024-08-04,37.25,32.07
2024-08-05,35.3,32.49
2024-08-06,34.96,32.21
2024-08-07,37.14,32.67
2024-08-08,39.22,34.62
2024-08-09,33.52,30.8
2024-08-10,35.88,33.05
2024-08-11,33.9,30.93
2024-08-12,33.93,31.9
2024-08-13,35.68,33.26
2024-08-14,34.65,32.28
2024-08-15,33.8,31.21
2024-08-16,34.76,31.49
2024-08-17,36.22,32.69
2024-08-18,36.11,31.38
2024-08-19,34.64,32.18
2024-08-20,36.24,31.99
2024-08-21,34.51,31.31
2024-08-22,37.15,33.79
2024-08-23,36.42,32.39
2024-08-24,32.38,29.95
2024-08-25,35.71,31.9
2024-08-26,34.73,31.1
2024-08-27,36.37,32.42
2024-08-28,34.68,30.91
2024-08-29,37.23,31.48
2024-08-30,34.98,32.0
2024-08-31,35.39,32.29
2024-09-01,33.43,30.4
2024-09-02,34.26,31.15
2024-09-03,34.05,30.99
2024-09-04,35.52,30.8
2024-09-05,37.9,32.95
2024-09-06,34.87,31.69
2024-09-07,33.13,30.17
2024-09-08,36.26,32.1
2024-09-09,36.42,33.16
2024-09-10,36.5,32.16
2024-09-11,33.82,29.84
2024-09-12,33.2,30.75
2024-09-13,37.53,32.31
2024-09-14,35.98,30.51
2024-09-15,34.85,31.53
2024-09-16,35.36,31.81
2024-09-17,34.44,30.26
2024-09-18,35.27,31.03
2024-09-19,32.7,28.15
2024-09-20,35.92,30.13
2024-09-21,34.66,30.82
2024-09-22,33.21,29.91
2024-09-23,35.3,32.5
2024-09-24,33.14,29.73
2024-09-25,34.67,30.62
2024-09-26,36.84,31.13
2024-09-27,35.96,32.3
2024-09-28,34.06,29.71
2024-09-29,36.2,32.05
2024-09-30,36.26,31.01
2024-10-01,36.6,30.12
2024-10-02,35.17,31.42
2024-10-03,34.99,31.19
2024-10-04,35.68,30.47
2024-10-05,35.98,31.08
2024-10-06,36.64,30.68
2024-10-07,35.99,31.13
2024-10-08,35.66,31.64
2024-10-09,37.38,32.48
2024-10-10,35.33,29.95
2024-10-11,38.14,32.99
2024-10-12,34.21,29.33
2024-10-13,36.37,30.97
2024-10-14,37.16,31.65
2024-10-15,37.12,31.39
2024-10-16,35.68,30.6
2024-10-17,35.36,30.99
2024-10-18,35.42,30.75
2024-10-19,36.33,30.69
2024-10-20,35.84,32.01
2024-10-21,36.51,31.59
2024-10-22,34.92,30.67
2024-10-23,36.78,32.13
2024-10-24,37.42,31.62
2024-10-25,36.94,32.1
2024-10-26,36.69,31.97
2024-10-27,34.16,30.69
2024-10-28,36.34,30.96
2024-10-29,37.48,32.17
2024-10-30,38.77,32.08
2024-10-31,36.03,31.55
2024-11-01,36.68,31.71
2024-11-02,37.81,32.79
2024-11-03,37.37,31.14
2024-11-04,36.95,32.21
2024-11-05,36.66,31.57
2024-11-06,37.0,31.6
2024-11-07,37.86,32.83
2024-11-08,37.1,32.62
2024-11-09,37.73,32.65
2024-11-10,39.02,33.14
2024-11-11,36.03,32.03
2024-11-12,37.73,32.67
2024-11-13,36.15,31.83
2024-11-14,38.48,32.45
2024-11-15,35.69,32.09
2024-11-16,36.82,32.34
2024-11-17,38.17,32.84
2024-11-18,38.03,31.62
2024-11-19,39.25,34.29
2024-11-20,36.08,31.55
2024-11-21,38.15,31.42
2024-11-22,37.36,33.61
2024-11-23,36.42,33.33
2024-11-24,38.7,33.24
2024-11-25,37.93,33.3
2024-11-26,36.95,32.78
2024-11-27,37.77,32.04
2024-11-28,38.3,32.97
2024-11-29,36.96,32.36
2024-11-30,37.87,33.9
2024-12-01,38.87,32.95
2024-12-02,38.12,32.4
2024-12-03,37.97,32.92
2024-12-04,40.45,33.64
2024-12-05,37.01,32.82
2024-12-06,36.44,32.65
2024-12-07,38.22,33.68
2024-12-08,38.87,33.74
2024-12-09,38.52,33.13
2024-12-10,38.19,33.23
2024-12-11,39.42,33.92
2024-12-12,36.54,32.48
2024-12-13,39.07,32.58
2024-12-14,38.38,33.27
2024-12-15,39.99,33.79
2024-12-16,39.83,34.33
2024-12-17,41.05,35.44
2024-12-18,40.66,34.95
2024-12-19,39.71,34.1
2024-12-20,40.08,34.3
2024-12-21,39.88,33.48
2024-12-22,39.81,34.43
2024-12-23,40.1,34.26
2024-12-24,40.0,34.88
2024-12-25,40.41,33.91
2024-12-26,39.78,35.19
2024-12-27,42.99,36.17
2024-12-28,39.92,34.76
2024-12-29,39.19,35.29
2024-12-30,40.92,35.62
2024-12-31,39.28,34.71
2025-01-01,41.21,35.27
2025-01-02,39.74,35.15
2025-01-03,40.07,35.29
2025-01-04,38.05,34.58
2025-01-05,40.13,35.37
2025-01-06,38.84,35.86
2025-01-07,40.52,36.79
2025-01-08,42.25,36.41
2025-01-09,43.41,37.56
2025-01-10,40.52,34.99
2025-01-11,40.8,36.54
2025-01-12,41.07,35.99
2025-01-13,42.97,37.86
2025-01-14,39.29,35.23
2025-01-15,41.72,35.27
2025-01-16,41.43,35.55
2025-01-17,39.13,34.24
2025-01-18,40.85,35.75
2025-01-19,40.86,35.6
2025-01-20,39.7,36.49
2025-01-21,41.55,36.72
2025-01-22,42.59,38.17
2025-01-23,41.52,37.4
2025-01-24,40.85,36.09
2025-01-25,42.48,35.86
2025-01-26,42.74,37.17
2025-01-27,40.07,35.6
2025-01-28,43.99,38.5
2025-01-29,44.19,37.98
2025-01-30,42.33,36.55
2025-01-31,40.48,35.49
2025-02-01,42.65,38.31
2025-02-02,42.58,37.05
2025-02-03,43.57,38.32
2025-02-04,41.51,35.83
2025-02-05,42.22,36.78
2025-02-06,43.17,37.38
2025-02-07,41.83,37.48
2025-02-08,43.09,37.08
2025-02-09,43.08,38.1
2025-02-10,43.29,36.63
2025-02-11,41.67,37.52
2025-02-12,44.12,37.81
2025-02-13,43.13,38.21
2025-02-14,42.57,38.44
2025-02-15,41.1,36.83
2025-02-16,40.91,36.51
2025-02-17,44.14,39.09
2025-02-18,43.41,38.29
2025-02-19,41.48,37.36
2025-02-20,44.07,39.47
2025-02-21,44.75,38.23
2025-02-22,45.36,39.23
2025-02-23,43.22,38.27
2025-02-24,44.68,40.1
2025-02-25,44.5,39.87
2025-02-26,43.16,38.1
2025-02-27,42.81,39.24
2025-02-28,43.22,38.98
2025-03-01,42.62,39.67
2025-03-02,42.39,37.6
2025-03-03,44.12,39.12
2025-03-04,43.45,39.49
2025-03-05,42.78,36.99
2025-03-06,40.79,37.53
2025-03-07,39.81,36.79
2025-03-08,42.93,38.41
2025-03-09,44.57,39.33
2025-03-10,45.85,40.06
2025-03-11,42.65,38.8
2025-03-12,45.43,40.23
2025-03-13,41.72,37.54
2025-03-14,41.31,37.27
2025-03-15,43.75,38.77
2025-03-16,43.93,39.19
2025-03-17,41.55,38.83
2025-03-18,42.46,37.02
2025-03-19,44.15,38.82
2025-03-20,41.25,37.74
2025-03-21,43.94,39.53
2025-03-22,43.74,39.27
2025-03-23,42.35,38.1
2025-03-24,41.99,38.5
2025-03-25,41.38,38.02
2025-03-26,42.85,38.92
2025-03-27,44.83,39.84
2025-03-28,42.5,38.1
2025-03-29,43.0,39.45
2025-03-30,43.08,38.52
2025-03-31,39.57,38.29
2025-04-01,43.76,38.9
2025-04-02,40.31,38.07
2025-04-03,41.96,38.5
2025-04-04,40.67,37.92
2025-04-05,43.34,40.76
2025-04-06,43.79,39.02
2025-04-07,41.63,38.35
2025-04-08,43.16,39.17
2025-04-09,42.48,38.86
2025-04-10,42.83,38.76
2025-04-11,43.19,39.5
2025-04-12,42.06,39.61
2025-04-13,42.92,38.44
2025-04-14,41.51,38.39
2025-04-15,40.79,38.64
2025-04-16,39.94,36.8
2025-04-17,42.35,37.49
2025-04-18,44.32,40.07
2025-04-19,43.45,40.3
2025-04-20,41.71,38.57
2025-04-21,42.44,39.29
2025-04-22,44.31,39.03
2025-04-23,45.24,41.49
2025-04-24,43.47,39.7
2025-04-25,42.85,38.56
2025-04-26,41.34,37.78
2025-04-27,40.26,37.17
2025-04-28,41.9,38.77
2025-04-29,41.1,37.87
2025-04-30,40.48,37.24
2025-05-01,41.82,37.9
2025-05-02,40.77,37.48
2025-05-03,43.82,39.94
2025-05-04,42.32,39.17
2025-05-05,41.61,38.34
2025-05-06,41.02,39.64
2025-05-07,42.33,38.34
2025-05-08,40.92,37.45
2025-05-09,43.59,39.56
2025-05-10,39.15,38.63
2025-05-11,42.16,37.17
2025-05-12,40.86,37.88
2025-05-13,41.3,37.22
2025-05-14,38.85,36.72
2025-05-15,42.36,38.75
2025-05-16,41.69,39.59
2025-05-17,39.03,36.56
2025-05-18,43.02,38.28
2025-05-19,39.97,37.14
2025-05-20,40.43,37.23
2025-05-21,40.86,37.09
2025-05-22,40.21,36.79
2025-05-23,40.66,37.56
2025-05-24,40.0,36.71
2025-05-25,42.76,37.65
2025-05-26,40.19,37.31
2025-05-27,40.19,37.08
2025-05-28,40.28,36.42
2025-05-29,40.56,36.66
2025-05-30,41.77,37.8
2025-05-31,40.98,37.52
2025-06-01,37.98,36.13
2025-06-02,41.38,37.03
2025-06-03,39.4,37.56
2025-06-04,38.46,35.32
2025-06-05,39.43,37.25
2025-06-06,38.9,36.1
2025-06-07,40.29,37.15
2025-06-08,39.02,35.89
2025-06-09,38.1,34.89
2025-06-10,39.26,34.98
2025-06-11,39.66,36.43
2025-06-12,39.15,36.55
2025-06-13,39.12,35.44
2025-06-14,40.65,36.76
2025-06-15,36.33,34.63
2025-06-16,39.34,36.0
2025-06-17,38.34,34.9
2025-06-18,37.87,35.33
2025-06-19,39.94,35.9
2025-06-20,37.68,35.01
2025-06-21,38.29,35.37
2025-06-22,39.2,36.56
2025-06-23,37.88,35.06
2025-06-24,38.08,36.27
2025-06-25,35.93,34.43
2025-06-26,40.09,35.85
2025-06-27,38.65,36.61
2025-06-28,34.93,33.02
2025-06-29,35.32,34.45
2025-06-30,37.86,35.62
2025-07-01,36.47,34.85
2025-07-02,39.59,35.3
2025-07-03,38.08,34.35
2025-07-04,37.11,34.91
2025-07-05,39.47,34.62
2025-07-06,39.46,35.74
2025-07-07,37.39,34.85
2025-07-08,35.45,34.86
2025-07-09,39.02,34.11
2025-07-10,35.58,33.98
2025-07-11,35.34,33.96
2025-07-12,38.42,34.64
2025-07-13,38.9,33.83
2025-07-14,38.53,34.41
2025-07-15,39.34,35.95
2025-07-16,38.23,34.8
2025-07-17,37.32,33.65
2025-07-18,38.55,34.96
2025-07-19,36.62,33.45
2025-07-20,34.94,31.91
2025-07-21,35.66,32.78
2025-07-22,34.2,31.93
2025-07-23,35.94,33.24
2025-07-24,34.95,33.51
2025-07-25,37.83,34.93
2025-07-26,35.76,33.66
2025-07-27,35.11,33.1
2025-07-28,37.16,33.98
2025-07-29,35.47,31.19
2025-07-30,37.19,33.33
2025-07-31,35.39,33.75
2025-08-01,33.84,31.66
2025-08-02,37.89,33.97
2025-08-03,35.39,33.18
2025-08-04,35.35,32.45
2025-08-05,36.94,33.33
2025-08-06,37.01,34.75
2025-08-07,36.05,32.81
2025-08-08,34.78,32.82
2025-08-09,34.76,32.13
2025-08-10,35.2,31.72
2025-08-11,34.95,33.18
2025-08-12,35.23,31.61
2025-08-13,35.61,32.39
2025-08-14,35.6,31.85
2025-08-15,36.13,32.66
2025-08-16,36.99,32.48
2025-08-17,36.48,33.06
2025-08-18,34.56,31.62
2025-08-19,35.24,31.79
2025-08-20,34.95,31.11
2025-08-21,34.96,31.54
2025-08-22,35.67,32.24
2025-08-23,35.31,32.54
2025-08-24,33.81,30.99
2025-08-25,34.74,32.56
2025-08-26,37.99,32.95
2025-08-27,34.43,32.07
2025-08-28,36.22,33.35
